Temperature (K),Lambda (erg s^-1 cm^3)
1000.0,8.076123266766737e-27
1071.8913192051275,8.4131394563312e-27
1148.9510001873086,8.76059302279598e-27
1231.550603292826,9.11887466062014e-27
1320.088400831418,9.488390642127862e-27
1414.991297434576,9.869563093781782e-27
1516.7168884709226,1.026283030711542e-26
1625.7556664437934,1.0668647083977863e-26
1742.6333860096508,1.1087485115751048e-26
1867.9135990207828,1.1519833396277251e-26
2002.2003718155845,1.1966198668629283e-26
2146.1411978584038,1.2427105907946274e-26
2300.430119772917,1.2903098853557006e-26
2465.811075822604,1.3394740658950768e-26
2643.0814869741057,1.390261499111656e-26
2833.096101839324,1.4427329085337588e-26
3036.771118035457,1.4969525179956054e-26
3255.0885998350564,1.552992602520373e-26
3489.1012134067737,1.6109510677942934e-26
3739.937302478798,1.6710157505239362e-26
4008.8063288984645,1.7336856816441424e-26
4297.00470432084,1.8004861159297872e-26
4605.922041145103,1.8761376020263432e-26
4937.047852839004,1.9747331873211616e-26
5291.978735958442,2.1362591599432803e-26
5672.426068491977,2.4681111178013512e-26
6080.224261649421,3.243187983679839e-26
6517.339604882421,5.11798618652218e-26
6985.879746785249,9.58925330141717e-26
7488.103857590023,1.9895250937891877e-25
8026.4335222571735,4.269384319790937e-25
8603.464416684501,9.10125499046558e-25
9221.978823334322,1.8914858504699614e-24
9884.959046625587,3.803627087306908e-24
10595.601792776148,7.383015622629158e-24
11357.333583431051,1.3830275940274472e-23
12173.82727739662,2.5022651596384823e-23
13049.019780144015,4.377943300555811e-23
13987.131026472387,7.41733692347759e-23
14992.684327860472,1.2187150284278107e-22
16070.528182616385,2.6500696382553963e-22
17225.859653987874,3.353850645505613e-22
18464.249428955427,3.365470039211918e-22
19791.668678535574,3.1040315770764994e-22
21214.517849106276,2.7444782856984867e-22
22739.657523579273,2.4246033647361337e-22
24374.441501222216,2.254460931144152e-22
26126.752255633266,2.226991672020863e-22
28005.03894183631,2.3482847284132243e-22
30018.35813575592,2.669186345293967e-22
32176.417502507353,3.121261466030569e-22
34489.6226040576,3.6968228783477675e-22
36969.12707195024,4.418888723852308e-22
39626.88638701478,5.313287506427228e-22
42475.71552536894,6.375276056949476e-22
45529.35074866948,7.597810233520529e-22
48802.515836544335,8.969595626494463e-22
52310.993080562585,1.0449716846047022e-21
56071.69938205458,1.1998102362182075e-21
60102.76782070388,1.363645574971485e-21
64423.635087213705,1.5312221082537552e-21
69055.13520162331,1.6936831263437778e-21
74019.59996915636,1.8407549622144636e-21
79340.96665797492,1.96801836001124e-21
85044.89341802668,2.0644005678067996e-21
91158.88299750819,2.118483694240255e-21
97712.41535346501,2.0912673050758155e-21
104737.08979594486,2.026005889587139e-21
112266.77735108136,1.9513635613164713e-21
120337.78407775905,1.8928713831874108e-21
128989.02612533081,1.89978310053152e-21
138262.21737646536,1.936260648104942e-21
148202.070579886,1.9888222953092756e-21
158856.51294280528,2.0447901466287834e-21
170276.91722258978,2.0802285631292136e-21
182518.34943190424,2.1030847969927314e-21
195639.8343517065,2.1195600666678625e-21
209704.64013232305,2.1327660361682746e-21
224780.58335487253,2.1183782930804958e-21
240940.35602395269,2.025452722892934e-21
258261.87606826748,1.831040666825046e-21
276828.6630392061,1.5415845059172306e-21
296730.24081888725,1.1645504068754641e-21
318062.5692794119,8.55113214954012e-22
340928.50697468076,6.395808876117479e-22
365438.30709572544,5.022565719577901e-22
391710.1490809261,4.344961470581934e-22
419870.70844439056,4.0029521803261834e-22
450055.76757004973,3.817043731772569e-22
482410.8704165374,3.705014822209081e-22
517092.0242896755,3.549538240047103e-22
554266.4520663096,3.277507684314772e-22
594113.3984965039,2.956301636010327e-22
636824.9944718586,2.632521090895985e-22
682607.1834272379,2.388695569413613e-22
731680.7143427192,2.2430901778870687e-22
784282.2061337682,2.1529635807502326e-22
840665.2885618317,2.099003029136101e-22
901101.8251665018,2.0557383567796393e-22
965883.2241158709,1.9941036971460656e-22
1035321.8432956616,1.923065027091425e-22
1109752.496412072,1.849936340847537e-22
1189534.0673703207,1.7908586400811468e-22
1275051.2407130129,1.75185027200256e-22
1366716.3564620046,1.7203451121982678e-22
1464971.3983072848,1.687855160486161e-22
1570290.1247293775,1.6370760096209658e-22
1683180.353330955,1.5430871413152747e-22
1804186.409392072,1.4124574605077196e-22
1933891.750455232,1.2549389910291608e-22
2072921.77959537,1.0803696162319376e-22
2221946.8609395237,9.201184064238217e-23
2381685.5519761606,7.876716709920642e-23
2552908.0682395166,6.815472658710721e-23
2736439.9970746664,6.006501751358263e-23
2933166.2783900425,5.438786489545208e-23
3144035.4715915,5.0206773371709744e-23
3370064.3292719247,4.720035077213786e-23
3612342.6997094303,4.520394958684759e-23
3872038.781812557,4.4164045050640685e-23
4150404.7578504723,4.362315632036521e-23
4448782.831127585,4.3496999189161164e-23
4768611.697714474,4.3739252507411936e-23
5111433.483440165,4.431653831707395e-23
5478901.179593934,4.4988291190664797e-23
5872786.613189477,4.567984515937575e-23
6294988.990221888,4.6302455188441466e-23
6747544.053110686,4.6557100962421347e-23
7232633.896483534,4.6468622543101514e-23
7752597.488629464,4.603220822281934e-23
8309941.949353387,4.5248011430048814e-23
8907354.63861044,4.4090418499797447e-23
9547716.114208067,4.278548727196736e-23
10234114.021054527,4.1332957587091485e-23
10969857.97892384,3.973363440523423e-23
11758495.540521558,3.7835720627428086e-23
12603829.296797274,3.579957653030497e-23
13509935.211980252,3.3701228211857257e-23
14481182.27674533,3.1606790806110825e-23
15522253.57427048,2.97026691238403e-23
16638168.860761274,2.809016377930195e-23
17834308.769319095,2.6758316971976034e-23
19116440.753856998,2.5699407783635673e-23
20490746.89815846,2.497820965438489e-23
21963853.72416547,2.446607606425995e-23
23542864.143224154,2.412717824451977e-23
25235391.70434766,2.3942796504485592e-23
27049597.304631315,2.3922027756262343e-23
28994228.538828753,2.400587762934977e-23
31078661.877820138,2.417725745568173e-23
33312947.879346702,2.443031944429978e-23
35707859.64900462,2.4776198588869368e-23
38274944.785163075,2.5190027592664954e-23
41026581.0582719,2.5658048285400923e-23
43976036.09302721,2.6175620463009741e-23
47137531.34116719,2.6745068748601294e-23
50526310.6533568,2.7363925033716513e-23
54158713.78079465,2.801881403394651e-23
58052255.160948955,2.8708038341369577e-23
62225708.36730231,2.944990645298914e-23
66699196.63030115,3.021094579074755e-23
71494289.86597577,3.0994197921415725e-23
76634108.68007447,3.1800663467478247e-23
82143435.84919421,3.2628113156399593e-23
88048835.81643465,3.348185781177415e-23
94378782.77775371,3.436784185831855e-23
101163797.9766207,3.5285557613161344e-23
108436596.86896087,3.622253948224425e-23
116232246.86798495,3.720609326227135e-23
124588336.42950082,3.820357632292627e-23
133545156.29298975,3.922267288250485e-23
143145893.75234815,4.0281024010866733e-23
153436840.89300132,4.155931126875103e-23
164467617.79946628,4.287816398776235e-23
176291411.80959442,4.4238869481551276e-23
188965233.96912038,4.5642755915675514e-23
202550193.92306665,4.709119360400219e-23
217111794.56945008,4.858559634625461e-23
232720247.8960412,5.012742280799929e-23
249450813.52303165,5.1718177944431715e-23
267384161.5839944,5.335941446934087e-23
286606761.69482446,5.505273437069007e-23
307211299.8861747,5.67997904742975e-23
329297125.5097148,5.860228805713513e-23
352970730.27306575,6.046198651182417e-23
378346261.7131933,6.238070106395689e-23
405546073.5840828,6.4360304543909e-23
434701315.8125017,6.64027292148865e-23
465952566.86646676,6.850996865897945e-23
499450511.585514,7.068407972306761e-23
535356667.7410719,7.292718452648323e-23
573844164.8302405,7.524147253238041e-23
615098578.8580505,7.762920268483748e-23
659318827.1333542,8.00927056137849e-23
706718127.3927476,8.263438590989554e-23
757525025.8771889,8.525672447167631e-23
811984499.3184009,8.796228092703665e-23
870359136.1485183,9.075369613170316e-23
932930402.6284696,9.36336947469269e-23
1000000000.0,9.660508789898121e-23
